Classifier,Params,Cross Val,Sample_Size,Accuracy,conf_Matrix,Competition_Error,Scaled_Error,COMMENTS
RandomForestClassifier,"{'oob_score': False, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 300, 'verbose': 0, 'class_weight': {0: 2, 1: 1}, 'max_features': 'auto', 'random_state': 1, 'warm_start': False, 'criterion': 'gini', 'max_depth': 8, 'min_weight_fraction_leaf': 0.0, 'n_jobs': 8, 'bootstrap': True, 'min_samples_split': 2}",False,91360,0.526937390543,"[[41164  1934     0     0     0     0]
 [41129  6977     0     0     0     0]
 [  114    30     0     0     0     0]
 [    9     0     0     0     0     0]
 [    3     0     0     0     0     0]
 [    0     0     0     0     0     0]]",43360,216799.715235
ExtraTreesClassifier,"{'oob_score': False, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 300, 'verbose': 0, 'class_weight': {0: 1, 1: 2}, 'max_features': 'auto', 'random_state': 1, 'warm_start': False, 'criterion': 'gini', 'max_depth': 8, 'min_weight_fraction_leaf': 0.0, 'n_jobs': 8, 'bootstrap': False, 'min_samples_split': 2}",False,91360,0.535442206655,"[[ 1043 42055     0     0     0     0]
 [  231 47875     0     0     0     0]
 [    5   139     0     0     0     0]
 [    1     8     0     0     0     0]
 [    0     3     0     0     0     0]
 [    0     0     0     0     0     0]]",42463,212314.721126
KNeighborsClassifier,"{'p': 2, 'weights': 'uniform', 'n_jobs': 8, 'metric': 'minkowski', 'metric_params': None, 'n_neighbors': 1, 'algorithm': 'auto', 'leaf_size': 30}",False,91360,0.552145359019,"[[22580 20444    69     4     0     1]
 [20179 27859    67     1     0     0]
 [   57    81     5     1     0     0]
 [    5     2     2     0     0     0]
 [    1     2     0     0     0     0]
 [    0     0     0     0     0     0]]",41074,205369.730248
Ensemble,"{'p': 2, 'weights': 'uniform', 'n_jobs': 8, 'metric': 'minkowski', 'metric_params': None, 'n_neighbors': 1, 'algorithm': 'auto', 'leaf_size': 30}",True,91360,0.67351,"[[24008 19090     0     0     0     0]
 [10586 37516     3     0     1     0]
 [   34   102     8     0     0     0]
 [    4     5     0     0     0     0]
 [    1     2     0     0     0     0]
 [    0     0     0     0     0     0]]",29884,149419.803738
XGBClassifier,"{'learning_rate': 0.1, 'colsample_bylevel': 1, 'base_score': 0.5, 'min_child_weight': 1, 'objective': 'multi:softprob', 'seed': 1, 'reg_lambda': 1, 'silent': 1, 'n_estimators': 300, 'max_delta_step': 0, 'colsample_bytree': 1, 'subsample': 0.9, 'gamma': 0, 'missing': None, 'max_depth': 8, 'reg_alpha': 0, 'nthread': 8, 'scale_pos_weight': 1}",False,91360,0.673456654991,"[[24321 18686    13     0     0     0]
 [10966 37187    26     0     0     0]
 [   37    96    17     1     0     0]
 [    1     3     2     2     0     0]
 [    1     0     0     1     0     0]
 [    0     0     0     0     0     0]]",29891,149454.803692
RandomForestClassifier,"{'max_features': 'auto', 'oob_score': False, 'n_jobs': 8, 'min_weight_fraction_leaf': 0.0, 'random_state': 1, 'verbose': 0, 'criterion': 'gini', 'n_estimators': 300, 'max_depth': 8, 'min_samples_leaf': 1, 'bootstrap': True, 'min_samples_split': 2, 'warm_start': False, 'max_leaf_nodes': None, 'class_weight': {0: 2, 1: 1}}",False,91360,0.531687828371,"[[40772  2248     0     0     0     0]
 [40376  7803     0     0     0     0]
 [  122    29     0     0     0     0]
 [    6     2     0     0     0     0]
 [    2     0     0     0     0     0]
 [    0     0     0     0     0     0]]",42927,214634.718079
ExtraTreesClassifier,"{'max_features': 'auto', 'oob_score': False, 'n_jobs': 8, 'min_weight_fraction_leaf': 0.0, 'random_state': 1, 'verbose': 0, 'criterion': 'gini', 'n_estimators': 300, 'max_depth': 8, 'min_samples_leaf': 1, 'bootstrap': False, 'min_samples_split': 2, 'warm_start': False, 'max_leaf_nodes': None, 'class_weight': {0: 1, 1: 2}}",False,91360,0.53597854641,"[[ 1008 42012     0     0     0     0]
 [  220 47959     0     0     0     0]
 [    2   149     0     0     0     0]
 [    0     8     0     0     0     0]
 [    0     2     0     0     0     0]
 [    0     0     0     0     0     0]]",42407,212034.721494
KNeighborsClassifier,"{'leaf_size': 30, 'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform', 'metric': 'minkowski', 'p': 2, 'metric_params': None, 'n_jobs': 8}",False,91360,0.550328371278,"[[22513 20457    46     4     0     0]
 [20341 27761    74     2     1     0]
 [   76    72     3     0     0     0]
 [    4     3     0     1     0     0]
 [    0     1     0     1     0     0]
 [    0     0     0     0     0     0]]",41229,206144.72923
Ensemble,"{'leaf_size': 30, 'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform', 'metric': 'minkowski', 'p': 2, 'metric_params': None, 'n_jobs': 8}",True,91360,0.67325,"[[24269 18751     0     0     0     0]
 [10940 37239     0     0     0     0]
 [   39   112     0     0     0     0]
 [    1     5     0     0     2     0]
 [    1     0     0     1     0     0]
 [    0     0     0     0     0     0]]",29901,149504.803627
XGBClassifier,"{'seed': 1, 'base_score': 0.5, 'silent': 1, 'reg_alpha': 0, 'colsample_bytree': 1, 'max_depth': 8, 'max_delta_step': 0, 'reg_lambda': 1, 'missing': None, 'n_estimators': 300, 'objective': 'multi:softmax', 'colsample_bylevel': 1, 'gamma': 0, 'subsample': 0.9, 'min_child_weight': 1, 'nthread': 8, 'learning_rate': 0.1, 'scale_pos_weight': 1}",False,91360,0.671749124343,"[[24205 19107    12     0     0     0]
 [10691 37142    24     0     0     0]
 [   41   101    24     0     0     0]
 [    4     2     2     0     0     0]
 [    1     1     1     0     0     0]
 [    0     2     0     0     0     0]]",30064,751595.722067
XGBClassifier,"{'nthread': 8, 'colsample_bylevel': 1, 'learning_rate': 0.1, 'seed': 1, 'scale_pos_weight': 1, 'gamma': 0, 'silent': 1, 'n_estimators': 300, 'min_child_weight': 1, 'base_score': 0.5, 'colsample_bytree': 1, 'reg_lambda': 1, 'missing': None, 'max_delta_step': 0, 'max_depth': 8, 'reg_alpha': 0, 'objective': 'multi:softmax', 'subsample': 0.9}",False,91360,0.676641856392,"[[24701 18397    10     2     0     0]
 [10970 37097    32     0     0     0]
 [   35    82    20     0     0     0]
 [    5     3     0     0     0     0]
 [    1     2     0     0     0     0]
 [    2     1     0     0     0     0]]",29622,740545.784961
XGBClassifier,"{'max_depth': 8, 'reg_lambda': 1, 'n_estimators': 300, 'nthread': 8, 'seed': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'base_score': 0.5, 'min_child_weight': 1, 'scale_pos_weight': 1, 'reg_alpha': 0, 'objective': 'multi:softmax', 'silent': 1, 'colsample_bylevel': 1, 'max_delta_step': 0, 'missing': None, 'subsample': 0.9}",False,91360,0.672165061296,"[[24393 18817    11     2     0     0]
 [10972 36997    19     0     0     0]
 [   33    86    18     0     0     0]
 [    0     6     1     1     0     0]
 [    1     0     1     0     0     0]
 [    2     0     0     0     0     0]]",30017,750420.728754
