Classifier,Params,Cross Val,Sample_Size,Accuracy,conf_Matrix,Competition_Error,Scaled_Error,COMMENTS
KNeighborsClassifier,"{'n_neighbors': 1, 'metric': 'minkowski', 'algorithm': 'auto', 'p': 2, 'weights': 'uniform', 'leaf_size': 30, 'metric_params': None, 'n_jobs': 8}",FALSE,139489,0.53837937,"[[34604 32574    56     0     0     0]
 [31492 40486    44     0     0     1]
 [   93   119     8     0     0     0]
 [    3     6     0     0     1     0]
 [    1     0     0     0     0     0]
 [    0     1     0     0     0     0]]",64561,322804.5834,
MLPClassifier,"{'validation_fraction': 0.1, 'beta_2': 0.999, 'momentum': 0.9, 'shuffle': True, 'random_state': 1, 'max_iter': 500, 'power_t': 0.5, 'beta_1': 0.9, 'hidden_layer_sizes': (500, 300, 6), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'tol': 0.0001, 'verbose': False, 'algorithm': 'adam', 'epsilon': 1e-08, 'early_stopping': True, 'batch_size': 'auto', 'warm_start': False, 'alpha': 0.0001, 'nesterovs_momentum': True, 'activation': 'relu'}",FALSE,139489,0.516334621,"[[    0 67234     0     0     0     0]
 [    0 72023     0     0     0     0]
 [    0   220     0     0     0     0]
 [    0    10     0     0     0     0]
 [    0     1     0     0     0     0]
 [    0     1     0     0     0     0]]",67481,337404.5646,
Ensemble,"{'validation_fraction': 0.1, 'beta_2': 0.999, 'momentum': 0.9, 'shuffle': True, 'random_state': 1, 'max_iter': 500, 'power_t': 0.5, 'beta_1': 0.9, 'hidden_layer_sizes': (500, 300, 6), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'tol': 0.0001, 'verbose': False, 'algorithm': 'adam', 'epsilon': 1e-08, 'early_stopping': True, 'batch_size': 'auto', 'warm_start': False, 'alpha': 0.0001, 'nesterovs_momentum': True, 'activation': 'relu'}",TRUE,139489,0.7,"[[36545 30685     2     2     0     0]
 [10934 61082     7     0     0     0]
 [   44   171     5     0     0     0]
 [    5     5     0     0     0     0]
 [    1     0     0     0     0     0]
 [    1     0     0     0     0     0]]",41929,209644.7295, <-- This run was without colorCode encoding
XGBClassifier,"{'scale_pos_weight': 1, 'learning_rate': 0.1, 'min_child_weight': 1, 'objective': 'multi:softprob', 'colsample_bylevel': 1, 'reg_lambda': 1, 'silent': 1, 'nthread': 8, 'max_depth': 8, 'n_estimators': 250, 'seed': 1, 'reg_alpha': 0, 'subsample': 0.9, 'base_score': 0.5, 'missing': None, 'gamma': 0, 'colsample_bytree': 1, 'max_delta_step': 0}",FALSE,139489,0.698843636,"[[37055 30089    31     1     0     0]
 [11632 60369    79     2     0     0]
 [   51   110    57     0     0     0]
 [    4     2     2     0     0     0]
 [    1     2     0     0     0     0]
 [    2     0     0     0     0     0]]",42119,210594.7282,
RandomForestClassifier,"{'max_features': 'auto', 'bootstrap': True, 'verbose': 0, 'n_jobs': 8, 'max_leaf_nodes': None, 'max_depth': 8, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'n_estimators': 300, 'class_weight': {0: 2, 1: 1}, 'warm_start': False, 'oob_score': False, 'criterion': 'gini', 'random_state': 1, 'min_samples_leaf': 1}",FALSE,139489,0.59347332,"[[57667  9509     0     0     0     0]
 [46966 25116     0     0     0     0]
 [  121    97     0     0     0     0]
 [    4     4     0     0     0     0]
 [    2     1     0     0     0     0]
 [    2     0     0     0     0     0]]",56855,284274.6332,
ExtraTreesClassifier,"{'max_features': 'auto', 'bootstrap': False, 'verbose': 0, 'n_jobs': 8, 'max_leaf_nodes': None, 'max_depth': 8, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'n_estimators': 300, 'class_weight': {0: 1, 1: 2}, 'warm_start': False, 'oob_score': False, 'criterion': 'gini', 'random_state': 1, 'min_samples_leaf': 1}",FALSE,139489,0.538228821,"[[ 3221 63955     0     0     0     0]
 [  226 71856     0     0     0     0]
 [    1   217     0     0     0     0]
 [    0     8     0     0     0     0]
 [    0     3     0     0     0     0]
 [    1     1     0     0     0     0]]",64434,322169.5843,
KNeighborsClassifier,"{'leaf_size': 30, 'metric_params': None, 'weights': 'uniform', 'n_jobs': 8, 'metric': 'minkowski', 'algorithm': 'auto', 'n_neighbors': 1, 'p': 2}",FALSE,139489,0.549011033,"[[35281 31860    32     3     0     0]
 [30756 41287    38     1     0     0]
 [   95   110    13     0     0     0]
 [    2     6     0     0     0     0]
 [    2     1     0     0     0     0]
 [    1     1     0     0     0     0]]",63067,315334.5931,
MLPClassifier,"{'learning_rate': 'constant', 'tol': 0.0001, 'alpha': 0.0001, 'shuffle': True, 'momentum': 0.9, 'power_t': 0.5, 'hidden_layer_sizes': (500, 300, 6), 'verbose': False, 'early_stopping': True, 'algorithm': 'adam', 'batch_size': 'auto', 'beta_1': 0.9, 'random_state': 1, 'beta_2': 0.999, 'learning_rate_init': 0.001, 'warm_start': False, 'max_iter': 500, 'nesterovs_momentum': True, 'activation': 'relu', 'epsilon': 1e-08, 'validation_fraction': 0.1}",FALSE,139489,0.516757594,"[[    0 67176     0     0     0     0]
 [    0 72082     0     0     0     0]
 [    0   218     0     0     0     0]
 [    0     8     0     0     0     0]
 [    0     3     0     0     0     0]
 [    0     2     0     0     0     0]]",67427,337134.565,
Ensemble,"{'learning_rate': 'constant', 'tol': 0.0001, 'alpha': 0.0001, 'shuffle': True, 'momentum': 0.9, 'power_t': 0.5, 'hidden_layer_sizes': (500, 300, 6), 'verbose': False, 'early_stopping': True, 'algorithm': 'adam', 'batch_size': 'auto', 'beta_1': 0.9, 'random_state': 1, 'beta_2': 0.999, 'learning_rate_init': 0.001, 'warm_start': False, 'max_iter': 500, 'nesterovs_momentum': True, 'activation': 'relu', 'epsilon': 1e-08, 'validation_fraction': 0.1}",TRUE,139489,0.69893,"[[37051 30125     0     0     0     0]
 [11640 60440     2     0     0     0]
 [   54   162     2     0     0     0]
 [    4     4     0     0     0     0]
 [    1     2     0     0     0     0]
 [    2     0     0     0     0     0]]",42077,210384.7285,< -- with colorCode encoding it went down.
XGBClassifier,"{'colsample_bylevel': 1, 'gamma': 0, 'nthread': 8, 'min_child_weight': 1, 'objective': 'multi:softmax', 'scale_pos_weight': 1, 'max_depth': 8, 'missing': None, 'subsample': 0.9, 'n_estimators': 250, 'reg_lambda': 1, 'colsample_bytree': 1, 'seed': 1, 'learning_rate': 0.1, 'reg_alpha': 0, 'base_score': 0.5, 'silent': 1, 'max_delta_step': 0}",False,139489,0.7560954627,"[[45450 21699    19     1     0     0]
 [12070 59936    81     3     0     1]
 [   27   113    75     2     0     0]
 [    1     1     2     4     0     0]
 [    0     1     0     0     0     0]
 [    1     0     0     0     0     2]]",34085,170424.780079,
RandomForestClassifier,"{'criterion': 'gini', 'verbose': 0, 'max_features': 'auto', 'class_weight': {0: 2, 1: 1}, 'max_depth': 8, 'bootstrap': True, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0, 'random_state': 1, 'n_jobs': 8, 'oob_score': False, 'warm_start': False, 'max_leaf_nodes': None}",False,139489,0.6447031666,"[[58206  8963     0     0     0     0]
 [40368 31723     0     0     0     0]
 [  116   101     0     0     0     0]
 [    5     3     0     0     0     0]
 [    0     1     0     0     0     0]
 [    2     1     0     0     0     0]]",49702,248509.679316,
ExtraTreesClassifier,"{'criterion': 'gini', 'verbose': 0, 'max_features': 'auto', 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'bootstrap': False, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0, 'random_state': 1, 'n_jobs': 8, 'oob_score': False, 'warm_start': False, 'max_leaf_nodes': None}",False,139489,0.5402074716,"[[ 3524 63645     0     0     0     0]
 [  262 71829     0     0     0     0]
 [    1   216     0     0     0     0]
 [    0     8     0     0     0     0]
 [    0     1     0     0     0     0]
 [    0     3     0     0     0     0]]",64156,320779.586057,
